mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0768655776977539,0.002894773921234657,0.0029994487762451173,0.00014217318687494572,0.001,3,4,2,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-124.47002449635926,-88.78605220269246,-141.76792777677386,-119.86969480395467,-121.74672615555191,-119.32808508706641,17.14027432243386,107
0.14775004386901855,0.002894726396427755,0.0031137943267822267,0.000488661277301336,0.001,3,4,2,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-121.85944898093621,-87.74205917206855,-140.38132129626254,-118.87620215699285,-119.88147943059202,-117.74810220737045,16.943153809887857,95
0.2761697292327881,0.005560157433887185,0.003141021728515625,0.0003022331660180747,0.001,3,4,2,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-117.25067858711395,-85.77472380436056,-137.2968952986316,-117.22487265872518,-116.98012375549435,-114.90545882086512,16.523680710022795,83
0.07130036354064942,0.0004348551647138696,0.0027174949645996094,0.00020446102332246347,0.001,3,4,4,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-124.47002449635926,-88.78605220269246,-141.76792777677386,-119.86969480395467,-121.74672615555191,-119.32808508706641,17.14027432243386,107
0.13622326850891114,0.0018116188402246486,0.0027265071868896483,0.0002211988112794841,0.001,3,4,4,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-121.85944898093621,-87.74205917206855,-140.38132129626254,-118.87620215699285,-119.88147943059202,-117.74810220737045,16.943153809887857,95
0.24957094192504883,0.0032676026555693355,0.0027666091918945312,0.0003566128632144876,0.001,3,4,4,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-117.25067858711395,-85.77472380436056,-137.2968952986316,-117.22487265872518,-116.98012375549435,-114.90545882086512,16.523680710022795,83
0.06332631111145019,0.001557055052334444,0.0025864124298095705,8.620305878378154e-05,0.001,3,8,2,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-124.47002449635926,-88.71222451868064,-141.5490523491958,-119.52538094845349,-121.6629244738045,-119.18392135729876,17.105135661608674,105
0.14493923187255858,0.02870033850039969,0.002507781982421875,0.0002127570027338504,0.001,3,8,2,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",-121.85944898093621,-87.59988415886379,-139.99599672439666,-118.23915922274166,-119.62842887119301,-117.46458359162625,16.87697772446949,93
0.3486649036407471,0.010509433905849875,0.004004955291748047,0.0008981387430874509,0.001,3,8,2,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-117.25067858711395,-85.60984158190094,-137.55153723247236,-116.13724756439672,-116.35079773698641,-114.58002054057405,16.61117015931337,81
0.06993017196655274,0.002788417316076251,0.0026038646697998046,0.00022397785954059057,0.001,3,8,4,50,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}",-124.47002449635926,-88.71222451868064,-141.5490523491958,-119.52538094845349,-121.6629244738045,-119.18392135729876,17.105135661608674,105
0.15691914558410644,0.01203955100449788,0.0029456615447998047,0.0008047509109753491,0.001,3,8,4,100,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-121.85944898093621,-87.59988415886379,-139.99599672439666,-118.23915922274166,-119.62842887119301,-117.46458359162625,16.87697772446949,93
0.30954704284667967,0.01126230688387452,0.0038125038146972655,0.0007989153848041161,0.001,3,8,4,200,"{'learning_rate': 0.001, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 200}",-117.25067858711395,-85.60984158190094,-137.55153723247236,-116.13724756439672,-116.35079773698641,-114.58002054057405,16.61117015931337,81
0.11292762756347656,0.005824132939915543,0.0035734653472900392,0.0005224349506908593,0.001,5,4,2,50,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-124.21088438941057,-88.25111849555243,-140.74854256584484,-119.34029595096456,-121.11202486306993,-118.73257325296848,17.028593592332015,101
0.20656185150146483,0.004707423099024388,0.002559518814086914,0.00023318812356781812,0.001,5,4,2,100,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-121.29704536053796,-86.79514848565356,-138.67117459941966,-117.92778948704546,-118.96654850503086,-116.7315412875375,16.76189260379743,89
0.5001086235046387,0.029591320149909905,0.005261898040771484,0.0024039673235269764,0.001,5,4,2,200,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-116.38172608993283,-84.47618102658835,-135.30246532757175,-115.77560154428228,-115.39187075598144,-113.46556894887132,16.338821972700522,79
0.1273268699645996,0.015623760192099571,0.0038918972015380858,0.001397604280172969,0.001,5,4,4,50,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-124.21088438941057,-88.25111849555243,-140.74854256584484,-119.34029595096456,-121.11202486306993,-118.73257325296848,17.028593592332015,101
0.2874490261077881,0.008260597397485197,0.0029214859008789063,0.00027716902138398363,0.001,5,4,4,100,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-121.29704536053796,-86.79514848565356,-138.67117459941966,-117.92778948704546,-118.96654850503086,-116.7315412875375,16.76189260379743,89
0.4548519134521484,0.028682482453506488,0.003298187255859375,0.0002793127371612967,0.001,5,4,4,200,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-116.38172608993283,-84.47618102658835,-135.30246532757175,-115.77560154428228,-115.39187075598144,-113.46556894887132,16.338821972700522,79
0.11640267372131348,0.014935439582827609,0.003496074676513672,0.0008441519953768659,0.001,5,8,2,50,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-124.21973151923906,-88.12710523351313,-141.41088331059396,-118.96576555575939,-121.27253175434954,-118.79920347469101,17.24872688348556,103
0.17715215682983398,0.004395889829284404,0.002664804458618164,0.0002907894756005401,0.001,5,8,2,100,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",-121.21914869180115,-86.62181327086567,-139.72807178017362,-117.21140794918891,-118.99837608985163,-116.7557635563762,17.093511251898516,91
0.3920435905456543,0.008157564161074294,0.003542804718017578,0.000393170225635255,0.001,5,8,2,200,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-115.92897872218826,-84.12130931997808,-136.75802386277107,-114.21115934192413,-115.1945081690039,-113.2427958831731,16.810647896273018,77
0.1042210578918457,0.009132837726851506,0.002679300308227539,0.0005696566078960176,0.001,5,8,4,50,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}",-124.21973151923906,-88.12710523351313,-141.41088331059396,-118.96576555575939,-121.27253175434954,-118.79920347469101,17.24872688348556,103
0.19427618980407715,0.020653657932255577,0.0027992725372314453,0.00020725906861237612,0.001,5,8,4,100,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-121.21914869180115,-86.62181327086567,-139.72807178017362,-117.21140794918891,-118.99837608985163,-116.7557635563762,17.093511251898516,91
0.42247929573059084,0.01363481419167334,0.0031362056732177736,0.0002167681162342703,0.001,5,8,4,200,"{'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 200}",-115.92897872218826,-84.12130931997808,-136.75802386277107,-114.21115934192413,-115.1945081690039,-113.2427958831731,16.810647896273018,77
0.17850737571716307,0.020445585102334633,0.002698469161987305,0.00020629093124015086,0.001,10,4,2,50,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-124.00285522945147,-88.05101376352735,-140.5575365214477,-119.19661456995804,-120.44945204087843,-118.4514944250526,17.018995076472404,97
0.31909570693969724,0.013432316368822316,0.004619216918945313,0.002291551585211868,0.001,10,4,2,100,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-121.00736319146455,-86.41380506081136,-138.32688676194965,-117.62774720437825,-118.0686164142873,-116.2888837265782,16.765547741635167,85
0.6367075920104981,0.01530250998430339,0.005194234848022461,0.0028784880876228454,0.001,10,4,2,200,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-115.9492757630223,-83.7383954535708,-134.62012518466364,-115.13691702473163,-114.26965276111432,-112.74287323742053,16.359812974497622,75
0.15268526077270508,0.014237697370750228,0.002777719497680664,0.00027245336094197436,0.001,10,4,4,50,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-124.00285522945147,-88.05101376352735,-140.5575365214477,-119.19661456995804,-120.44945204087843,-118.4514944250526,17.018995076472404,97
0.36191716194152834,0.008013187576194434,0.004406595230102539,0.0014687845141935982,0.001,10,4,4,100,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-121.00736319146455,-86.41380506081136,-138.32688676194965,-117.62774720437825,-118.0686164142873,-116.2888837265782,16.765547741635167,85
0.6134924411773681,0.036291095072759065,0.0035477638244628905,0.0005484839720005446,0.001,10,4,4,200,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-115.9492757630223,-83.7383954535708,-134.62012518466364,-115.13691702473163,-114.26965276111432,-112.74287323742053,16.359812974497622,75
0.13321170806884766,0.010411876510501085,0.0025265693664550783,0.00035693952437307737,0.001,10,8,2,50,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-124.21636542716018,-87.9110704350035,-141.22592277257002,-118.77711347633209,-121.14470819597452,-118.65503606140805,17.27297370989084,99
0.24035243988037108,0.006495660916931007,0.0031268119812011717,0.00044346095156279553,0.001,10,8,2,100,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",-121.23801670130317,-86.16725372618349,-139.39573289042397,-116.81340457066301,-118.64321846688719,-116.45152527109217,17.15470047647702,87
0.5572092056274414,0.007696843880452464,0.00401158332824707,0.0005337197520797891,0.001,10,8,2,200,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-116.0732551337114,-83.1802730453408,-136.1056302846945,-113.4688301550055,-114.22996441954162,-112.61159060765877,16.93227373111828,73
0.14765944480895996,0.012729909359213086,0.002187967300415039,0.00016490880741958585,0.001,10,8,4,50,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}",-124.21636542716018,-87.9110704350035,-141.22592277257002,-118.77711347633209,-121.14470819597452,-118.65503606140805,17.27297370989084,99
0.25823607444763186,0.01405690492716011,0.002634477615356445,0.0002563630802617648,0.001,10,8,4,100,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-121.23801670130317,-86.16725372618349,-139.39573289042397,-116.81340457066301,-118.64321846688719,-116.45152527109217,17.15470047647702,87
0.5219537258148194,0.014331580127842894,0.004024028778076172,0.000869080793522697,0.001,10,8,4,200,"{'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 200}",-116.0732551337114,-83.1802730453408,-136.1056302846945,-113.4688301550055,-114.22996441954162,-112.61159060765877,16.93227373111828,73
0.06376385688781738,0.001502503360540729,0.0026027202606201173,0.00014549633997874918,0.01,3,4,2,50,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-107.24586254413333,-80.79305780031564,-131.05172302864406,-113.99085331262603,-111.95339078061753,-109.00697749326733,16.239568747146983,71
0.1443352222442627,0.017748449103097516,0.0034015655517578127,0.0008516979538421419,0.01,3,4,2,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-100.88620856168558,-75.86364826942574,-123.4502549737698,-110.94703260910029,-106.57281521548965,-103.54399192589422,15.706707661119028,59
0.2964935779571533,0.012672223200628925,0.0031461238861083983,0.00013534805817887608,0.01,3,4,2,200,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-100.09678218388298,-73.26892115645586,-117.97684940402613,-108.10700837599164,-101.0922128969578,-100.10835480346289,14.863276001134048,39
0.07704663276672363,0.008705957557190521,0.0026844024658203127,0.00015987101954703225,0.01,3,4,4,50,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-107.24586254413333,-80.79305780031564,-131.05172302864406,-113.99085331262603,-111.95339078061753,-109.00697749326733,16.239568747146983,71
0.13215904235839843,0.0014343842170642656,0.002711963653564453,0.00011954074556068013,0.01,3,4,4,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-100.88620856168558,-75.86364826942574,-123.4502549737698,-110.94703260910029,-106.57281521548965,-103.54399192589422,15.706707661119028,59
0.25270886421203614,0.003584283178610231,0.0029108524322509766,0.0003516029201805331,0.01,3,4,4,200,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-100.09678218388298,-73.26892115645586,-117.97684940402613,-108.10700837599164,-101.0922128969578,-100.10835480346289,14.863276001134048,39
0.06610374450683594,0.0016830911953007604,0.0023079395294189455,0.0002131742313919404,0.01,3,8,2,50,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-106.85596109510816,-80.93718372453404,-132.24377934099428,-112.01631918030971,-108.99790361908981,-108.21022939200721,16.360753869642746,69
0.12997112274169922,0.0008214309264137889,0.002765178680419922,0.00013624198093276424,0.01,3,8,2,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",-100.74057026764312,-76.6937776793567,-124.44406286479168,-109.00128392714831,-102.1391177569647,-102.60376249918087,15.446305020120848,57
0.2529308795928955,0.004413536623200048,0.0031334400177001954,0.00012684949312546413,0.01,3,8,2,200,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-97.6108354986534,-73.4163275204482,-118.2915578988145,-105.96312432433152,-96.29212112798594,-98.3147932740467,14.71114168765449,21
0.0656062126159668,0.0015860417222450466,0.002474689483642578,0.00030823495266987707,0.01,3,8,4,50,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}",-106.85596109510816,-80.93718372453404,-132.24377934099428,-112.01631918030971,-108.99790361908981,-108.21022939200721,16.360753869642746,69
0.13203082084655762,0.0021493542867168283,0.0025443553924560545,0.0003060837144042732,0.01,3,8,4,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-100.74057026764312,-76.6937776793567,-124.44406286479168,-109.00128392714831,-102.1391177569647,-102.60376249918087,15.446305020120848,57
0.30642099380493165,0.01953958385380655,0.0033324241638183595,0.00022067420929810188,0.01,3,8,4,200,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 200}",-97.6108354986534,-73.4163275204482,-118.2915578988145,-105.96312432433152,-96.29212112798594,-98.3147932740467,14.71114168765449,21
0.11170916557312012,0.011404931319222005,0.002505588531494141,0.0002096607707916136,0.01,5,4,2,50,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-108.42162058258775,-81.2481260189958,-127.27362000455558,-111.75327958453852,-108.70652486711286,-107.4806342115581,14.836108212113707,67
0.2203547477722168,0.01770145102567901,0.0028376102447509764,0.00023286675457349432,0.01,5,4,2,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-100.51982872857008,-78.50458897139808,-122.17856711579952,-107.19179629868228,-102.29150950189164,-102.13725812326831,14.059483239985953,53
0.4069684028625488,0.018882072810659414,0.0038829803466796874,0.0007340161256756173,0.01,5,4,2,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-101.97905981360832,-75.783100360519,-114.5645679796927,-105.32353661178078,-97.9050961246274,-99.11107217804565,12.89402378833251,31
0.09869041442871093,0.011064857451908194,0.00285491943359375,0.00013379362405380304,0.01,5,4,4,50,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-108.42162058258775,-81.2481260189958,-127.27362000455558,-111.75327958453852,-108.70652486711286,-107.4806342115581,14.836108212113707,67
0.1838454246520996,0.00937825835603932,0.0028609752655029295,0.0002134160546118617,0.01,5,4,4,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-100.51982872857008,-78.50458897139808,-122.17856711579952,-107.19179629868228,-102.29150950189164,-102.13725812326831,14.059483239985953,53
